date;open;high;low;close;range;pct_change;rel_volatility
2024-05-09;0,150176;0,151921;0,142144;0,143502;0,009777;-4,444119;0,066496
2024-05-13;0,143302;0,153748;0,140179;0,141158;0,013569;-1,496141;0,092329
2024-05-17;0,141273;0,159149;0,136311;0,149711;0,022838;5,972833;0,154593
2024-05-21;0,149597;0,166131;0,14793;0,165235;0,018201;10,453418;0,115907
2024-05-25;0,16582;0,173844;0,153648;0,163541;0,020196;-1,374382;0,123337
2024-05-29;0,163713;0,174079;0,161872;0,165015;0,012207;0,795294;0,072671
2024-06-02;0,164945;0,170113;0,154968;0,160153;0,015145;-2,905211;0,093177
2024-06-06;0,160188;0,164601;0,15491;0,163508;0,009691;2,072565;0,060661
2024-06-10;0,163227;0,164851;0,144198;0,146778;0,020653;-10,077377;0,133655
2024-06-14;0,14679;0,149972;0,134467;0,14099;0,015505;-3,951223;0,109022
2024-06-18;0,141085;0,143237;0,127433;0,128881;0,015804;-8,650105;0,116777
2024-06-22;0,128817;0,129017;0,117615;0,124026;0,011402;-3,71923;0,092462
2024-06-26;0,124092;0,128287;0,114665;0,126122;0,013622;1,635883;0,112137
2024-06-30;0,126179;0,128494;0,1206;0,121634;0,007894;-3,602026;0,063382
2024-07-04;0,121705;0,127138;0,116997;0,118501;0,010141;-2,632595;0,083077
2024-07-08;0,118389;0,118925;0,093153;0,104007;0,025772;-12,148088;0,243043
2024-07-12;0,104046;0,112043;0,099065;0,106667;0,012978;2,519078;0,122951
2024-07-16;0,106665;0,12523;0,105011;0,12523;0,020219;17,404959;0,175633
2024-07-20;0,125184;0,127744;0,117658;0,125458;0,010086;0,218878;0,0822
2024-07-24;0,125655;0,142278;0,124483;0,130555;0,017795;3,899566;0,133415
2024-07-28;0,130301;0,138162;0,12045;0,132074;0,017712;1,360696;0,136977
2024-08-01;0,131217;0,134867;0,12152;0,122077;0,013347;-6,965561;0,104116
2024-08-05;0,121905;0,122869;0,099734;0,103636;0,023135;-14,98626;0,207859
2024-08-09;0,103751;0,107444;0,081012;0,107444;0,026432;3,559484;0,280511
2024-08-13;0,107316;0,110807;0,100027;0,107647;0,01078;0,308435;0,102261
2024-08-17;0,107822;0,108791;0,097914;0,100332;0,010877;-6,946634;0,105242
2024-08-21;0,100341;0,10565;0,09873;0,103065;0,00692;2,714743;0,067717
2024-08-25;0,102888;0,115188;0,102401;0,112663;0,012787;9,500622;0,117534
2024-08-29;0,112715;0,112752;0,096901;0,099532;0,015851;-11,69587;0,151212
2024-09-02;0,099599;0,102552;0,094254;0,095438;0,008298;-4,177753;0,084327
2024-09-06;0,095151;0,100622;0,09266;0,09837;0,007962;3,383044;0,082387
2024-09-10;0,098346;0,104687;0,089233;0,103855;0,015454;5,601651;0,159385
2024-09-14;0,10374;0,108592;0,098173;0,107011;0,010419;3,153075;0,100781
2024-09-18;0,107028;0,107544;0,098512;0,101163;0,009032;-5,479874;0,087665
2024-09-22;0,101114;0,110405;0,099524;0,110159;0,010881;8,945349;0,103664
2024-09-26;0,110032;0,110875;0,104046;0,108514;0,006829;-1,379599;0,063549
2024-09-30;0,108534;0,131333;0,107347;0,12476;0,023986;14,950154;0,200989
2024-10-04;0,124462;0,124462;0,101628;0,105032;0,022834;-15,611191;0,20199
2024-10-08;0,105047;0,11513;0,104875;0,108889;0,010255;3,65741;0,093225
2024-10-12;0,108485;0,111388;0,103037;0,11076;0,008351;2,097064;0,077892
2024-10-16;0,110778;0,118756;0,108845;0,11715;0,009911;5,752045;0,087091
2024-10-20;0,117586;0,146142;0,116014;0,144817;0,030128;23,158369;0,229848
2024-10-24;0,144185;0,149484;0,133642;0,1399;0,015842;-2,971876;0,111908
2024-10-28;0,13991;0,145264;0,129564;0,144264;0,0157;3,112001;0,114253
2024-11-01;0,144297;0,178809;0,141391;0,161612;0,037418;11,999556;0,233716
2024-11-05;0,161235;0,168267;0,143634;0,158152;0,024633;-1,912116;0,157954
2024-11-09;0,158249;0,211182;0,158249;0,202016;0,052933;27,657047;0,286565
2024-11-13;0,201787;0,43457;0,197886;0,386352;0,236684;91,465258;0,74846
2024-11-17;0,382483;0,428874;0,35568;0,364056;0,073194;-4,81773;0,186588
2024-11-21;0,363958;0,416106;0,345428;0,378826;0,070678;4,085087;0,18562
2024-11-25;0,379068;0,47592;0,37205;0,429861;0,10387;13,399443;0,244985
2024-11-29;0,42978;0,436259;0,367842;0,402174;0,068417;-6,423286;0,17017
2024-12-03;0,401722;0,457656;0,400087;0,42405;0,057569;5,558072;0,134234
2024-12-07;0,424451;0,458835;0,394757;0,435694;0,064078;2,648833;0,150137
2024-12-11;0,435475;0,479522;0,368364;0,393384;0,111158;-9,665538;0,2622
2024-12-15;0,394135;0,422877;0,376568;0,397785;0,046309;0,926079;0,115853
2024-12-19;0,397702;0,412978;0,357243;0,358238;0,055735;-9,923008;0,144725
2024-12-23;0,357947;0,366334;0,26734;0,311911;0,098994;-12,861122;0,312445
2024-12-27;0,312251;0,340955;0,303655;0,311922;0,0373;-0,105364;0,115729
2024-12-31;0,312091;0,328815;0,307409;0,313434;0,021406;0,430323;0,067291
2025-01-04;0,313515;0,387899;0,309738;0,379242;0,078161;20,964547;0,224074
2025-01-08;0,379851;0,398059;0,348264;0,349004;0,049795;-8,120816;0,133441
2025-01-12;0,348561;0,354504;0,314828;0,341473;0,039676;-2,033503;0,118554
2025-01-16;0,341053;0,387706;0,31414;0,386974;0,073566;13,464476;0,209636
2025-01-20;0,387042;0,433428;0,352852;0,357861;0,080576;-7,539492;0,204955
2025-01-24;0,357345;0,395655;0,337553;0,35227;0,058102;-1,420196;0,158487
2025-01-28;0,352671;0,363754;0,308411;0,333463;0,055343;-5,446436;0,164671
2025-02-01;0,333904;0,342144;0,31574;0,328601;0,026404;-1,588181;0,080269
2025-02-05;0,328678;0,331903;0,216108;0,264661;0,115795;-19,477117;0,422601
2025-02-09;0,264094;0,269244;0,239547;0,253158;0,029697;-4,14095;0,116736
2025-02-13;0,252926;0,26874;0,240961;0,264044;0,027779;4,395752;0,109001
2025-02-17;0,264065;0,284811;0,254008;0,265457;0,030803;0,527143;0,114335
2025-02-21;0,265669;0,268463;0,242909;0,254898;0,025554;-4,054293;0,099943
2025-02-25;0,254738;0,260684;0,20872;0,210187;0,051964;-17,488949;0,221404
2025-03-01;0,211003;0,213542;0,182663;0,202091;0,030879;-4,223637;0,155874
2025-03-05;0,20189;0,240299;0,185534;0,19921;0,054765;-1,327456;0,257214
2025-03-09;0,198497;0,218602;0,191304;0,192009;0,027298;-3,268563;0,133192
2025-03-13;0,19195;0,193755;0,14567;0,172437;0,048085;-10,165668;0,283332
2025-03-17;0,172247;0,177359;0,162162;0,168302;0,015197;-2,290316;0,08952
2025-03-21;0,168206;0,178915;0,163218;0,169562;0,015697;0,806154;0,09176
2025-03-25;0,169582;0,188444;0,165133;0,182616;0,023311;7,685957;0,131858
2025-03-29;0,182904;0,205268;0,178114;0,180277;0,027154;-1,436273;0,141655
2025-04-02;0,1804;0,182355;0,160867;0,174269;0,021488;-3,398559;0,125213
2025-04-06;0,174121;0,177884;0,156093;0,169368;0,021791;-2,729711;0,130494
2025-04-10;0,169015;0,16983;0,131762;0,160559;0,038068;-5,003106;0,252447
2025-04-14;0,160461;0,168997;0,149483;0,162669;0,019514;1,376035;0,122545
2025-04-18;0,162589;0,168063;0,151436;0,155872;0,016627;-4,131276;0,104082
2025-04-22;0,155844;0,162407;0,152801;0,159084;0,009606;2,079002;0,06095
2025-04-26;0,159195;0,185555;0,158264;0,182031;0,027291;14,344672;0,158752
2025-04-30;0,181938;0,190975;0,173046;0,174399;0,017929;-4,143719;0,098505
2025-05-04;0,174631;0,184014;0,168994;0,175768;0,01502;0,651087;0,085097
2025-05-08;0,175669;0,177121;0,164896;0,172116;0,012225;-2,022554;0,071488
