date;coin;price;volume;market_cap
2024-06-06;pepe;1.4576221135447047e-05;1009143960.7017409;6125261378.148419
2024-06-07;pepe;1.4392829832279976e-05;782065345.7136024;6055611177.715999
2024-06-08;pepe;1.2822939606467539e-05;1313434402.7046847;5392344313.570623
2024-06-09;pepe;1.2135346246584088e-05;881305279.6389266;5098432860.8904
2024-06-10;pepe;1.2764392556674418e-05;727960904.7123619;5365891706.1314535
2024-06-11;pepe;1.2085042796885793e-05;714852877.085632;5084717881.2673025
2024-06-12;pepe;1.2778079037049468e-05;1288465697.561884;5377079121.052391
2024-06-13;pepe;1.317131261243079e-05;1361365550.1794384;5540871330.403114
2024-06-14;pepe;1.1870857155894082e-05;870321003.7135277;5004586397.811693
2024-06-15;pepe;1.1373613736419744e-05;937642023.4308103;4777868691.195541
2024-06-16;pepe;1.1809275207990526e-05;582194901.8591827;4967492159.845217
2024-06-17;pepe;1.2317090995909393e-05;513606553.0730624;5181188912.860892
2024-06-18;pepe;1.1171637522392975e-05;776597484.1320492;4710069019.344912
2024-06-19;pepe;1.1008930288279974e-05;1059530139.2248709;4616028916.005474
2024-06-20;pepe;1.136009933520655e-05;763626283.2610438;4767448338.064526
2024-06-21;pepe;1.096737641331523e-05;809044356.2776577;4618936163.812037
2024-06-22;pepe;1.1407286599415112e-05;763387782.5243338;4801124305.690573
2024-06-23;pepe;1.141933259873677e-05;361998384.0637753;4804782677.41594
2024-06-24;pepe;1.0884663708514512e-05;454251100.3804787;4577626489.911967
2024-06-25;pepe;1.1275639873086569e-05;865188760.8393078;4741493158.577357
2024-06-26;pepe;1.280945255119844e-05;1087709001.4719381;5376239903.414767
2024-06-27;pepe;1.2480032788299767e-05;752983682.1470343;5249430545.013677
2024-06-28;pepe;1.2531551626723996e-05;595627853.2212703;5278857696.720465
2024-06-29;pepe;1.1535254978398966e-05;557787984.931016;4852465612.197474
2024-06-30;pepe;1.129166699308786e-05;302086645.7368466;4750594061.749239
2024-07-01;pepe;1.1834566110401814e-05;502740774.95631695;4974526755.768998
2024-07-02;pepe;1.1412917238721527e-05;507953898.1017461;4795269868.528182
2024-07-03;pepe;1.128634136536836e-05;497497424.0357124;4753129753.187221
2024-07-04;pepe;1.0237584527245781e-05;727183244.696018;4297818526.988937
2024-07-05;pepe;8.927785928563917e-06;1013080292.1417869;3743504361.8693547
2024-07-06;pepe;8.889122135576347e-06;1529109000.0829237;3736045893.8497267
2024-07-07;pepe;9.740898865327442e-06;686661853.9640013;4091264107.561112
2024-07-08;pepe;8.386343783949773e-06;625608950.5137972;3510828199.64652
2024-07-09;pepe;9.164782716219039e-06;1604975533.293717;3870464585.8291464
2024-07-10;pepe;9.0770134898232e-06;998456342.0350119;3823013825.746411
2024-07-11;pepe;9.202009634062136e-06;884286216.3737103;3871216560.103147
2024-07-12;pepe;8.892443984423003e-06;947880637.5088203;3732583191.0601683
2024-07-13;pepe;8.672504801488397e-06;781252380.0957856;3647733134.474169
2024-07-14;pepe;8.706022018129234e-06;526328903.8371806;3668951568.0924177
2024-07-15;pepe;9.234399465526031e-06;899814445.6469928;3894349917.7180257
2024-07-16;pepe;1.138675534683768e-05;1944790578.6570735;4790523013.233112
2024-07-17;pepe;1.2369176443726459e-05;2823108119.5064373;5210742118.250479
2024-07-18;pepe;1.1684709219842151e-05;1487600237.5083923;4922632695.055816
2024-07-19;pepe;1.1659141391034726e-05;1449509734.5430367;4904682062.998158
2024-07-20;pepe;1.2686997959640374e-05;1504073419.601308;5338297886.704452
2024-07-21;pepe;1.2243537381590815e-05;1042571859.2879101;5149775395.093351
2024-07-22;pepe;1.249190150737867e-05;1195220646.8134873;5251054771.629644
2024-07-23;pepe;1.1895940387574104e-05;888571584.6814338;5005285951.909914
2024-07-24;pepe;1.2627075060310609e-05;1617201807.4995193;5314899060.282456
2024-07-25;pepe;1.2218760973501835e-05;1551365756.262881;5131009337.269574
2024-07-26;pepe;1.1472769855163252e-05;1522734472.3302755;4827275146.139737
2024-07-27;pepe;1.2044015909781473e-05;859040617.500862;5067916044.878731
2024-07-28;pepe;1.1953217000509627e-05;934585797.178007;5028400250.663997
2024-07-29;pepe;1.1740893622905076e-05;548997723.527086;4937174888.560324
2024-07-30;pepe;1.1818116433383874e-05;999330560.331617;4979188889.847494
2024-07-31;pepe;1.1288949974817519e-05;717083704.9311912;4748503887.100244
2024-08-01;pepe;1.1055986520116784e-05;620778247.1069031;4652537651.325207
2024-08-02;pepe;1.0587590814285604e-05;1051894271.2484683;4455539651.536616
2024-08-03;pepe;9.302843830138798e-06;1079652155.1487615;3918217875.071114
2024-08-04;pepe;8.650598409072813e-06;1173715645.671945;3637660177.3013945
2024-08-05;pepe;8.055316957437677e-06;1275345923.668327;3397279977.493259
2024-08-06;pepe;7.074562365449622e-06;3506366483.9099207;2967152925.2098722
2024-08-07;pepe;7.726114572225104e-06;1598193681.475416;3252464408.6462226
2024-08-08;pepe;7.378151842680227e-06;1421789807.350473;3103914698.6971445
2024-08-09;pepe;8.764680489199087e-06;1445019799.9210758;3687016499.661841
2024-08-10;pepe;8.507496541568894e-06;1325641628.0471795;3570015478.9420056
2024-08-11;pepe;8.430513369520323e-06;569181403.6338167;3546677347.4958134
2024-08-12;pepe;7.745620593715817e-06;886132163.8629596;3258505127.5703073
2024-08-13;pepe;8.241537022214019e-06;1169278903.875512;3472502851.031327
2024-08-14;pepe;8.187728464809345e-06;695589631.3913826;3435606299.4400196
2024-08-15;pepe;8.019721018431367e-06;734079416.0816946;3375353768.26904
2024-08-16;pepe;7.4570420324708495e-06;860915535.131299;3142513356.3457417
2024-08-17;pepe;7.16795676928073e-06;905831506.92009;3016128606.2805824
