date;open;high;low;close;range;pct_change;rel_volatility
2024-05-09;7,93e-06;8,24e-06;7,66e-06;7,99e-06;5,8e-07;0,75662;0,072956
2024-05-13;7,96e-06;8,94e-06;7,93e-06;8,75e-06;1,01e-06;9,924623;0,119739
2024-05-17;8,77e-06;1,151e-05;8,33e-06;1,005e-05;3,18e-06;14,595211;0,320565
2024-05-21;1,004e-05;1,124e-05;8,95e-06;1,124e-05;2,29e-06;11,952191;0,226845
2024-05-25;1,131e-05;1,526e-05;1,089e-05;1,416e-05;4,37e-06;25,198939;0,334226
2024-05-29;1,415e-05;1,717e-05;1,415e-05;1,599e-05;3,02e-06;13,003534;0,192848
2024-06-02;1,6e-05;1,647e-05;1,328e-05;1,485e-05;3,19e-06;-7,1875;0,214454
2024-06-06;1,486e-05;1,546e-05;1,402e-05;1,458e-05;1,44e-06;-1,884253;0,097693
2024-06-10;1,456e-05;1,512e-05;1,18e-05;1,276e-05;3,32e-06;-12,362637;0,246657
2024-06-14;1,276e-05;1,377e-05;1,154e-05;1,187e-05;2,23e-06;-6,974922;0,176215
2024-06-18;1,188e-05;1,238e-05;1,071e-05;1,117e-05;1,67e-06;-5,976431;0,144651
2024-06-22;1,117e-05;1,216e-05;1,009e-05;1,141e-05;2,07e-06;2,148612;0,186067
2024-06-26;1,144e-05;1,299e-05;1,028e-05;1,281e-05;2,71e-06;11,975524;0,232918
2024-06-30;1,281e-05;1,324e-05;1,128e-05;1,129e-05;1,96e-06;-11,86573;0,159869
2024-07-04;1,13e-05;1,211e-05;1,004e-05;1,024e-05;2,07e-06;-9,380531;0,186907
2024-07-08;1,023e-05;1,034e-05;7,74e-06;8,39e-06;2,6e-06;-17,986315;0,287611
2024-07-12;8,38e-06;9,7e-06;7,8e-06;8,89e-06;1,9e-06;6,085919;0,217143
2024-07-16;8,89e-06;1,141e-05;8,36e-06;1,139e-05;3,05e-06;28,121485;0,308548
2024-07-20;1,137e-05;1,297e-05;1,123e-05;1,269e-05;1,74e-06;11,609499;0,143802
2024-07-24;1,268e-05;1,273e-05;1,166e-05;1,263e-05;1,07e-06;-0,394322;0,087741
2024-07-28;1,257e-05;1,31e-05;1,1e-05;1,195e-05;2,1e-06;-4,932379;0,174274
2024-08-01;1,188e-05;1,236e-05;1,097e-05;1,106e-05;1,39e-06;-6,902357;0,11916
2024-08-05;1,104e-05;1,11e-05;7,76e-06;8,06e-06;3,34e-06;-26,992754;0,354189
2024-08-09;8,1e-06;8,82e-06;5,92e-06;8,76e-06;2,9e-06;8,148148;0,393487
2024-08-13;8,74e-06;8,92e-06;7,68e-06;8,24e-06;1,24e-06;-5,720824;0,149398
2024-08-17;8,23e-06;8,42e-06;6,92e-06;7,17e-06;1,5e-06;-12,879708;0,195567
2024-08-21;7,17e-06;8,21e-06;7,13e-06;7,78e-06;1,08e-06;8,507671;0,140808
2024-08-25;7,76e-06;9,78e-06;7,55e-06;9,46e-06;2,23e-06;21,907216;0,257357
2024-08-29;9,5e-06;9,5e-06;7,42e-06;7,7e-06;2,08e-06;-18,947368;0,245863
2024-09-02;7,69e-06;8,17e-06;7,1e-06;7,17e-06;1,07e-06;-6,762029;0,140144
2024-09-06;7,15e-06;7,75e-06;6,89e-06;7,1e-06;8,6e-07;-0,699301;0,117486
2024-09-10;7,11e-06;7,57e-06;6,37e-06;7,4e-06;1,2e-06;4,078762;0,172166
2024-09-14;7,39e-06;8,02e-06;6,99e-06;7,93e-06;1,03e-06;7,307172;0,137242
2024-09-18;7,91e-06;7,94e-06;7,08e-06;7,31e-06;8,6e-07;-7,585335;0,114514
2024-09-22;7,32e-06;8,48e-06;7e-06;8,42e-06;1,48e-06;15,027322;0,191214
2024-09-26;8,42e-06;8,78e-06;7,76e-06;8,43e-06;1,02e-06;0,118765;0,123337
2024-09-30;8,44e-06;1,187e-05;8,25e-06;1,131e-05;3,62e-06;34,004739;0,359841
2024-10-04;1,129e-05;1,143e-05;8,39e-06;8,63e-06;3,04e-06;-23,560673;0,306761
2024-10-08;8,64e-06;1,075e-05;8,51e-06;9,87e-06;2,24e-06;14,236111;0,232606
2024-10-12;9,79e-06;1,004e-05;8,85e-06;9,73e-06;1,19e-06;-0,61287;0,125993
2024-10-16;9,74e-06;1,105e-05;9,4e-06;1,034e-05;1,65e-06;6,160164;0,161369
2024-10-20;1,037e-05;1,091e-05;9,67e-06;1,051e-05;1,24e-06;1,350048;0,120505
2024-10-24;1,05e-05;1,084e-05;9,45e-06;9,81e-06;1,39e-06;-6,571429;0,137013
2024-10-28;9,81e-06;1,005e-05;8,67e-06;9,15e-06;1,38e-06;-6,727829;0,147436
2024-11-01;9,16e-06;1,007e-05;8,67e-06;9,11e-06;1,4e-06;-0,545852;0,149413
2024-11-05;9,11e-06;9,33e-06;7,75e-06;7,9e-06;1,58e-06;-13,282108;0,185012
2024-11-09;7,91e-06;1,137e-05;7,91e-06;1,081e-05;3,46e-06;36,662453;0,358921
2024-11-13;1,08e-05;1,48e-05;1,048e-05;1,436e-05;4,32e-06;32,962963;0,341772
2024-11-17;1,42e-05;2,457e-05;1,257e-05;2,124e-05;1,2e-05;49,577465;0,646204
2024-11-21;2,124e-05;2,257e-05;1,846e-05;1,881e-05;4,11e-06;-11,440678;0,200341
2024-11-25;1,884e-05;2,22e-05;1,826e-05;2,022e-05;3,94e-06;7,324841;0,19476
2024-11-29;2,024e-05;2,054e-05;1,743e-05;1,984e-05;3,11e-06;-1,976285;0,163814
2024-12-03;1,986e-05;2,303e-05;1,955e-05;2,044e-05;3,48e-06;2,920443;0,163457
